price,mileage,tax,mpg,engineSize,car_age,model_freq,brand_BMW,brand_Mercedes,brand_VW,transmission_Manual,transmission_Semi-Auto,fuelType_Hybrid,fuelType_Other,fuelType_Petrol
45800.0,10035,145,32.8,3.0,6,217,False,False,False,False,False,False,False,False
44981.0,7496,145,36.7,3.0,6,248,False,True,False,False,False,False,False,False
19995.0,3000,145,46.3,1.5,6,2532,False,False,True,True,False,False,False,True
17480.0,20376,150,52.3,1.5,7,1028,True,False,False,True,False,False,False,True
9895.0,50899,150,60.1,1.2,8,1701,False,False,True,True,False,False,False,True
19650.0,43267,145,62.8,2.0,8,1323,True,False,False,False,True,False,False,False
34995.0,10,145,49.6,2.0,5,569,True,False,False,False,True,True,False,False
16991.0,60892,145,56.5,1.5,7,1009,False,False,False,False,True,False,False,True
16810.0,44929,30,64.2,2.1,10,1966,False,True,False,False,False,False,False,False
15895.0,34026,145,58.9,2.0,8,917,False,False,True,True,False,False,False,False
16322.0,21097,125,58.9,2.1,10,1045,False,True,False,False,True,False,False,False
10995.0,9045,20,60.1,1.0,8,1701,False,False,True,True,False,False,False,True
44995.0,100,145,34.5,3.0,6,182,False,False,True,False,False,False,False,False
10275.0,69037,20,68.9,2.0,9,1009,False,False,False,True,False,False,False,False
53905.85000000006,4433,145,34.5,3.0,5,478,False,False,False,False,True,False,False,False
10999.0,25252,0,74.3,1.6,9,2532,False,False,True,True,False,False,False,False
